"","long","lat","order","hole","piece","id","group","Town","Census.Tract.x","Total.Number.of.Cases","Total.Rate.per.10.000","Number.of.Female.Cases","Female.Rate.per.10.000","Number.of.Male.Cases","Male.Rate.per.10.000","Number.of.Cases...19.Years.Old","Rate.per.10.000....19.Years.Old","Number.of.Cases...20.Years.Old","Rate.per.10.000...20.Years.Old","point","total.respiratory"
"643",-72.82107895,41.24377738,186558,FALSE,"1","09009184400","09009184400.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015909511622479,1.29879761617156
"644",-72.80406294,41.27798639,186708,FALSE,"1","09009184500","09009184500.1","Branford","84500",36,28.7,22,"34",13,".",12,NA,24,24.3,0.008328504482809,1.43567976920718
"645",-72.73673092,41.26141139,186958,FALSE,"1","09009184600","09009184600.1","Branford","84600",45,31.6,24,"32.5",21,"30.5",20,62.6,25,22.6,0.012903873206889,1.19891948206907
"646",-72.79917195,41.3243314,187188,FALSE,"1","09009184700","09009184700.1","Branford","84700",116,39.3,78,"49.9",38,"27.3",36,55.9,81,35.1,0.007659566760299,2.08122716566497
"647",-72.80586095,41.3393234,187441,FALSE,"1","09009186100","09009186100.1","North Branford","86100",108,29.6,72,"37.700000000000003",37,"21.2",41,47.8,67,24,0.009009419809937,1.47356783823955
"648",-72.81743695,41.37876141,188013,FALSE,"1","09009186200","09009186200.1","North Branford","86200",88,24.8,53,"29.7",35,"19.899999999999999",48,54.2,40,15,0.010710233378348,1.27398916598794
"649",-72.6600529,41.26414539,188624,FALSE,"1","09009190100","09009190100.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009435562263351,1.49653491966566
"650",-72.6720399,41.26432939,188956,FALSE,"1","09009190200","09009190200.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01236786047969,1.18152668238012
"651",-72.6608049,41.33211641,189346,FALSE,"1","09009190301","09009190301.1","Guilford","90301",89,26.2,48,"28",41,"24.4",39,39.5,49,20.3,0.012851700522974,1.15303564978474
"652",-72.74605993,41.3106134,189924,FALSE,"1","09009190302","09009190302.1","Guilford","90302",68,25,37,"26.2",32,"24.4",29,43.5,39,19,0.012932854320423,1.16723337088625
"653",-72.74464093,41.39963642,190250,FALSE,"1","09009190303","09009190303.1","Guilford","90303",32,18.6,24,"27.3",8,".",8,NA,24,19.1,0.011957023785593,1.16276129238323
"654",-72.53270986,41.25279939,190530,FALSE,"1","09009194100","09009194100.1","Madison","94100",70,27.2,46,"33.200000000000003",24,"20.100000000000001",19,NA,51,25.3,0.010158009544041,0.945189101317892
"655",-72.6585019,41.3303584,190825,FALSE,"1","09009194201","09009194201.1","Madison","94201",44,11.2,21,"10.6",23,"11.9",23,19.5,21,7.7,0.011600325276158,1.08147015906763
"656",-72.58544588,41.3142474,191659,FALSE,"1","09009194202","09009194202.1","Madison","94202",68,25.8,40,"30",28,"21.5",25,31.1,43,23.4,0.013494661257989,1.04566477964817
"657",-73.07493404,41.41048441,192952,FALSE,"1","09009341100","09009341100.1","Beacon Falls","41100",90,29.8,52,"34.299999999999997",38,"25.2",34,45.2,56,24.6,0.008273569343938,1.43781797361751
"658",-72.90140899,41.56202044,193166,FALSE,"1","09009343101","09009343101.1","Cheshire","43101",28,9.6,16,".",12,".",11,NA,17,NA,0.008359743448135,1.47326532057479
"659",-72.88461898,41.51713143,193647,FALSE,"1","09009343102","09009343102.1","Cheshire","43102",25,13.7,12,".",12,".",6,NA,19,NA,0.008968337016354,1.47225645352436
"660",-72.96201301,41.54518744,194076,FALSE,"1","09009343200","09009343200.1","Cheshire","43200",74,23.7,36,"22.5",38,"24.9",36,38.7,38,17.3,0.008054143560857,1.49327068836898
"661",-72.90678299,41.47242242,194372,FALSE,"1","09009343300","09009343300.1","Cheshire","43300",52,15.3,36,"20",16,".",25,29.1,27,10.6,0.009105469468539,1.48870024362566
"662",-72.90657599,41.47375742,194724,FALSE,"1","09009343400","09009343400.1","Cheshire","43400",66,19.6,42,"24.6",25,"15",36,38.1,30,12.4,0.008220989898886,1.49511410241061
"663",-73.09571605,41.50424342,195055,FALSE,"1","09009344100","09009344100.1","Middlebury","44100",46,19,29,"23",18,".",18,NA,29,16.2,0.006582801154062,1.26156225585381
"664",-73.12898107,41.55760843,195498,FALSE,"1","09009344200","09009344200.1","Middlebury","44200",30,22.1,11,".",19,".",17,NA,13,NA,0.007225097696387,1.15146824071597
"665",-73.03509403,41.49474742,196047,FALSE,"1","09009345100","09009345100.1","Naugatuck","45100",242,69.4,116,"66.3",125,"71.8",69,77.3,172,66.2,0.008156892037261,1.50853380674417
"666",-73.03509403,41.49474742,196329,FALSE,"1","09009345201","09009345201.1","Naugatuck","45201",166,47,112,"61.5",54,"31.6",59,63.5,107,41.1,0.006951675070426,1.50236489818097
"667",-73.01399203,41.49514243,196674,FALSE,"1","09009345202","09009345202.1","Naugatuck","45202",72,34.1,30,"27.9",42,"40.4",25,47.7,47,29.6,0.007030594508576,1.39139745809062
"668",-73.10433105,41.48462742,196907,FALSE,"1","09009345300","09009345300.1","Naugatuck","45300",202,62.6,121,"74.5",81,"50.5",55,63.9,148,62.5,0.006490455183857,1.29471661695756
"669",-73.09571605,41.50424342,197223,FALSE,"1","09009345400","09009345400.1","Naugatuck","45400",239,67,136,"73.5",103,"60",81,95.2,158,58.2,0.006631792850408,1.45729535149343
"670",-73.08432604,41.40303641,197543,FALSE,"1","09009346101","09009346101.1","Oxford","46101",89,26.7,68,"40.1",21,"12.8",29,36,60,23.7,0.007985224766878,1.30639612156689
"671",-73.11494206,41.44910141,198151,FALSE,"1","09009346102","09009346102.1","Oxford","46102",76,25.3,52,"34.799999999999997",23,"15.2",20,23.3,56,26.1,0.007443518810793,1.24788007869148
"672",-72.934648,41.50125443,198946,FALSE,"1","09009347100","09009347100.1","Prospect","47100",103,37.3,54,"37.4",48,"36.4",42,65.9,61,28.7,0.008006629517652,1.35734249848087
"673",-72.98190201,41.46857742,199211,FALSE,"1","09009347200","09009347200.1","Prospect","47200",58,29.9,31,"31.2",27,"28.5",24,45.5,35,24.8,0.007891656393484,1.38476149216288
"674",-73.2467301,41.50977442,199411,FALSE,"1","09009348111","09009348111.1","Southbury","48111",21,14.5,14,".",7,".",7,NA,14,NA,0.007074419694975,1.10244036507424
"675",-73.17037208,41.51259542,199884,FALSE,"1","09009348122","09009348122.1","Southbury","48122",38,17.5,23,"20.9",16,".",17,NA,21,13.5,0.006071113594496,1.22300267378473
"676",-73.17710307,41.43916141,200456,FALSE,"1","09009348123","09009348123.1","Southbury","48123",47,16.4,33,"23",14,".",26,30.8,21,10.4,0.007097125154158,1.23608678975463
"677",-73.2419591,41.47140241,200888,FALSE,"1","09009348124","09009348124.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005789858747537,1.25568022481761
"678",-73.2351281,41.51212242,201289,FALSE,"1","09009348125","09009348125.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006336880265539,1.26923517346922
"679",-73.04334104,41.56136244,201621,FALSE,"1","09009350100","09009350100.1","Waterbury","50100",821,338.4,486,"387.6",335,"285.8",222,438.7,600,312.5,0.022790174410728,1.90371110118682
"680",-73.04049904,41.56558144,201797,FALSE,"1","09009350200","09009350200.1","Waterbury","50200",606,361.3,353,"401.4",252,"315.8",235,384.6,371,347.9,0.013427920945211,1.5524012682976
"681",-73.03439604,41.55968844,201913,FALSE,"1","09009350300","09009350300.1","Waterbury","50300",386,392.1,213,"416",173,"366.1",136,375.2,250,401.9,0.012918280493649,1.68052502284087
"682",-73.03377504,41.55872244,202046,FALSE,"1","09009350400","09009350400.1","Waterbury","50400",583,468.8,309,"474.3",274,"462.8",219,459.6,364,474.6,0.016854658197391,1.67450255035313
"683",-73.03326203,41.54371043,202200,FALSE,"1","09009350500","09009350500.1","Waterbury","50500",511,409.1,291,"467.1",219,"349.8",190,449.2,321,388.6,0.045821856011561,2.22607288529589
"684",-73.04234604,41.56133444,202346,FALSE,"1","09009350800","09009350800.1","Waterbury","50800",943,314.4,523,"338.3",421,"289.8",392,332.8,551,302.6,0.01478428488453,1.67260416935913
"685",-73.04183404,41.57582544,202516,FALSE,"1","09009350900","09009350900.1","Waterbury","50900",134,134.9,85,"160.80000000000001",49,"105.4",44,145.9,90,130.1,0.010971753763015,1.38156337121559
"686",-73.04175504,41.57512744,202619,FALSE,"1","09009351000","09009351000.1","Waterbury","51000",382,207.7,232,"237.8",149,"172.6",167,296.9,214,167.7,0.010233766295597,1.34779526485631
"687",-73.00429803,41.57614144,202814,FALSE,"1","09009351100","09009351100.1","Waterbury","51100",410,208.8,209,"209.8",201,"207.6",110,218.5,300,205.4,0.009154121548925,1.3247031198136
"688",-73.02704403,41.55596144,203143,FALSE,"1","09009351200","09009351200.1","Waterbury","51200",710,367.7,438,"434.1",271,"293.89999999999998",250,391.9,460,355.8,0.013085552476516,1.5132438475604
"689",-73.00774603,41.55160744,203388,FALSE,"1","09009351300","09009351300.1","Waterbury","51300",635,229.5,333,"231",302,"227.8",216,273.6,419,211.8,0.012222598516217,1.64398141236006
