"","long","lat","order","hole","piece","id","group","Town","Census.Tract.x","Total.Number.of.Cases","Total.Rate.per.10.000","Number.of.Female.Cases","Female.Rate.per.10.000","Number.of.Male.Cases","Male.Rate.per.10.000","Number.of.Cases...19.Years.Old","Rate.per.10.000....19.Years.Old","Number.of.Cases...20.Years.Old","Rate.per.10.000...20.Years.Old","point","total.respiratory"
"1",-73.66335921,41.04169632,1,FALSE,"1","09001010101","09001010101.1","Greenwich","10101",39,17.4,21,"17.7",18,".",14,NA,25,15.2,0.013721299878785,1.79601085183313
"2",-73.6418112,41.07671032,636,FALSE,"1","09001010102","09001010102.1","Greenwich","10102",48,22.2,26,"23.9",22,"20.399999999999999",14,NA,34,23.4,0.013400885282819,1.4877847844999
"3",-73.60537319,41.03690032,1348,FALSE,"1","09001010201","09001010201.1","Greenwich","10201",21,12.3,9,".",12,".",13,NA,8,NA,0.013231732906844,1.62616419275629
"4",-73.60358719,41.04783532,2037,FALSE,"1","09001010202","09001010202.1","Greenwich","10202",108,40.3,59,"41.9",50,"39.299999999999997",51,62.8,57,30.5,0.012921439280554,1.64334299629551
"5",-73.6213162,41.03592032,2448,FALSE,"1","09001010300","09001010300.1","Greenwich","10300",54,26.9,22,"21.2",31,"32",18,NA,35,25,0.013357487664716,1.80308333299124
"6",-73.66525821,41.02372531,3147,FALSE,"1","09001010400","09001010400.1","Greenwich","10400",102,38.6,47,"33.700000000000003",55,"44",48,79.9,54,26.4,0.013386799989121,1.9863746079502
"7",-73.6456492,41.00954231,3424,FALSE,"1","09001010500","09001010500.1","Greenwich","10500",291,105.9,153,"104.1",138,"108",94,151.4,197,92.7,0.013382867614953,2.23787995395839
"8",-73.6229802,41.03424432,3654,FALSE,"1","09001010600","09001010600.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013350522937407,2.82555082042569
"9",-73.6228832,41.03492832,3852,FALSE,"1","09001010700","09001010700.1","Greenwich","10700",145,81,77,"76",68,"87.6",38,94.8,107,77.1,0.013166370468854,2.04245324580353
"10",-73.60563819,41.05056732,4032,FALSE,"1","09001010800","09001010800.1","Greenwich","10800",21,12.4,14,".",7,".",10,NA,10,NA,0.013231835376314,2.07796236997083
"11",-73.57894218,41.05763932,4312,FALSE,"1","09001010900","09001010900.1","Greenwich","10900",86,35.3,59,"46.4",27,"23.2",40,55,46,26.9,0.015425272666807,2.04223503796489
"12",-73.57298918,41.02012131,4492,FALSE,"1","09001011000","09001011000.1","Greenwich","11000",61,23.2,33,"24.1",29,"23",26,28.1,35,20.5,0.016586003745611,2.04815843089519
"13",-73.57392118,41.02642532,4704,FALSE,"1","09001011100","09001011100.1","Greenwich","11100",44,18,21,"17.100000000000001",23,"18.899999999999999",18,NA,26,17,0.01621354435441,1.9998948112577
"14",-73.6391672,41.00151931,4869,FALSE,"1","09001011200","09001011200.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013394393377972,1.84253367493756
"15",-73.6391672,41.00151931,5021,FALSE,"1","09001011300","09001011300.1","Greenwich","11300",82,51,43,"52.1",39,"49.8",47,124.8,35,28.4,0.014440605179427,2.41093208689487
"16",-73.53995917,41.05921532,5238,FALSE,"1","09001020100","09001020100.1","Stamford","20100",107,60.7,45,"49.9",62,"72.099999999999994",16,NA,90,57.1,0.014589043868533,3.68362945296976
"17",-73.6264282,41.13461534,5366,FALSE,"1","09001020200","09001020200.1","Stamford","20200",30,16.3,12,".",17,".",7,NA,22,16.3,0.012318907574527,1.56090341189293
"18",-73.58471219,41.16622834,5749,FALSE,"1","09001020300","09001020300.1","Stamford","20300",71,19.6,45,"24.4",26,"14.6",24,24,47,17.9,0.011492320043803,1.4933865022916
"19",-73.54415518,41.13642434,6192,FALSE,"1","09001020400","09001020400.1","Stamford","20400",27,15.1,21,"23.4",6,".",10,NA,17,NA,0.011714175167132,1.70416834562735
"20",-73.59244919,41.09062233,6513,FALSE,"1","09001020500","09001020500.1","Stamford","20500",53,21.7,26,"20.399999999999999",27,"23",21,33.7,32,17.5,0.013562352004501,1.76261004409432
"21",-73.54898317,41.08649533,6781,FALSE,"1","09001020600","09001020600.1","Stamford","20600",124,50.1,61,"46.6",63,"54",25,41.3,99,52.9,0.013309886891132,2.0989566107242
"22",-73.52212017,41.11753234,7151,FALSE,"1","09001020700","09001020700.1","Stamford","20700",42,19.3,31,"27.4",11,".",12,NA,30,18.2,0.013225236712724,1.89424752860824
"23",-73.54833917,41.08273033,7504,FALSE,"1","09001020800","09001020800.1","Stamford","20800",69,47,46,"62.4",24,"32.799999999999997",16,NA,53,50.8,0.013559139002138,1.98484832430503
"24",-73.51176716,41.09955833,7786,FALSE,"1","09001020900","09001020900.1","Stamford","20900",155,63.2,97,"76.400000000000006",58,"49",58,102.9,97,51.3,0.012885170056898,2.02698293928568
"25",-73.52368117,41.07806533,8098,FALSE,"1","09001021000","09001021000.1","Stamford","21000",102,58.3,59,"64.900000000000006",42,"50",43,94.7,58,44.8,0.013596540114985,2.02188099122314
"26",-73.52368117,41.07806533,8434,FALSE,"1","09001021100","09001021100.1","Stamford","21100",188,62.9,94,"60.2",94,"65.900000000000006",54,83.8,134,57.2,0.014519332458332,2.23120530842095
"27",-73.54878417,41.08333033,8775,FALSE,"1","09001021200","09001021200.1","Stamford","21200",131,62.7,98,"88.2",33,"33.799999999999997",27,57.2,104,64.3,0.014858316790526,2.21508821053926
"28",-73.55631918,41.07672333,9068,FALSE,"1","09001021300","09001021300.1","Stamford","21300",156,70.6,83,"73.7",73,"67.3",68,127.7,88,52.4,0.01463311926178,2.21799254986063
"29",-73.56450318,41.04511232,9363,FALSE,"1","09001021400","09001021400.1","Stamford","21400",363,108.5,197,"111.9",166,"104.8",154,162,209,87.3,0.014873663280053,2.43627200748791
"30",-73.54698217,41.04611232,9561,FALSE,"1","09001021500","09001021500.1","Stamford","21500",409,129.8,222,"154.69999999999999",187,"109",160,184.1,249,109.1,0.014853355063671,2.54564963109907
"31",-73.53722517,41.06526832,9702,FALSE,"1","09001021600","09001021600.1","Stamford","21600",155,43.4,83,"45.5",72,"41.1",58,92.1,97,32.9,0.014410167822617,2.89866180631885
"32",-73.53073417,41.05959932,9860,FALSE,"1","09001021700","09001021700.1","Stamford","21700",223,60.7,145,"79.7",78,"42",50,91.2,173,55.3,0.014675701182094,3.35004490612677
"33",-73.53316717,41.06140732,10006,FALSE,"1","09001021801","09001021801.1","Stamford","21801",104,48,62,"54.4",42,"40.9",58,129.5,46,26.8,0.01424034166758,2.27074372520262
"34",-73.50989616,41.06871933,10193,FALSE,"1","09001021802","09001021802.1","Stamford","21802",212,78.4,82,"57.5",130,"101.8",99,150.6,113,55.2,0.014250322832183,2.57066072114484
"35",-73.51505116,41.03057832,10345,FALSE,"1","09001021900","09001021900.1","Stamford","21900",159,55.7,82,"57.1",77,"54.2",66,108.3,93,41.4,0.014067377984047,2.05371181675649
"36",-73.50945016,41.05289232,10597,FALSE,"1","09001022000","09001022000.1","Stamford","22000",178,120.3,99,"128",79,"111.9",76,204.6,103,93,0.015696712470794,2.22782123168263
"37",-73.51762516,41.04186132,10759,FALSE,"1","09001022100","09001022100.1","Stamford","22100",295,81.8,182,"103.2",113,"61.4",124,146.8,171,61.9,0.014143306663856,2.24285390602997
"38",-73.53632617,41.04971232,11086,FALSE,"1","09001022200","09001022200.1","Stamford","22200",227,142.5,81,"123.7",146,"155.69999999999999",93,234.3,134,112,0.014877087669552,2.40574102227177
"39",-73.54182517,41.02120232,11255,FALSE,"1","09001022300","09001022300.1","Stamford","22300",424,147.2,229,"157.69999999999999",194,"135.69999999999999",187,264.3,237,109,0.0148915777561,2.25106506175932
"40",-73.54182517,41.02120232,11415,FALSE,"1","09001022400","09001022400.1","Stamford","22400",27,22.6,10,".",17,".",19,NA,9,NA,0.014624083478264,2.0780003051286
"41",-73.47457515,41.08684933,11529,FALSE,"1","09001030100","09001030100.1","Darien","30100",17,NA,9,".",8,".",6,NA,10,NA,0.012091764192375,1.7318620995145
"42",-73.47617215,41.08597333,12007,FALSE,"1","09001030200","09001030200.1","Darien","30200",20,11.6,13,".",8,".",14,NA,6,NA,0.012310488979342,2.37278736574145
"43",-73.46193114,41.04431632,12344,FALSE,"1","09001030300","09001030300.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012080363311014,1.96521024460832
"44",-73.50909816,41.06574333,12628,FALSE,"1","09001030400","09001030400.1","Darien","30400",52,26.3,24,"23.6",28,"29.2",18,NA,34,26.2,0.013629969588875,3.22174230657293
"45",-73.49686116,41.08603933,12909,FALSE,"1","09001030500","09001030500.1","Darien","30500",50,17.6,30,"20.7",19,".",22,20.5,28,15.9,0.013408551690978,2.06137693831294
"46",-73.50262616,41.13992334,13257,FALSE,"1","09001035100","09001035100.1","New Canaan","35100",53,14.3,32,"15.9",20,"11.8",16,NA,37,13.9,0.010762101192957,1.92452864416389
"47",-73.49434516,41.16068434,13824,FALSE,"1","09001035200","09001035200.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01227368075936,1.37482639572511
"48",-73.52205517,41.11707534,14308,FALSE,"1","09001035300","09001035300.1","New Canaan","35300",22,11.2,12,".",10,".",12,NA,10,NA,0.011134204989827,1.79734290404906
"49",-73.47437316,41.19731535,14833,FALSE,"1","09001035400","09001035400.1","New Canaan","35400",26,10.2,14,".",13,".",15,NA,12,NA,0.011218073372618,1.40265014190338
"50",-73.40774713,41.14099534,15402,FALSE,"1","09001042500","09001042500.1","Norwalk","42500",41,22.1,23,"23.6",18,".",14,NA,27,19,0.008032828481433,1.7534706186035
"51",-73.38138612,41.13052034,15731,FALSE,"1","09001042600","09001042600.1","Norwalk","42600",39,19.9,29,"28.5",10,".",9,NA,30,19.7,0.008685707819101,1.64390293650173
"52",-73.41046213,41.13677634,15982,FALSE,"1","09001042700","09001042700.1","Norwalk","42700",61,26.7,35,"28.5",25,"23.6",14,NA,47,25,0.008600494206261,2.01349477529581
"53",-73.41227213,41.13724934,16347,FALSE,"1","09001042800","09001042800.1","Norwalk","42800",46,20,25,"20.8",20,"18.2",11,NA,34,19.2,0.008816975576957,1.91496561616616
"54",-73.42935014,41.15456535,16679,FALSE,"1","09001042900","09001042900.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010771769457736,1.72205509217059
"55",-73.44263514,41.12565834,16865,FALSE,"1","09001043000","09001043000.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009611282983667,1.97118608354997
"56",-73.45103414,41.11027834,17108,FALSE,"1","09001043100","09001043100.1","Norwalk","43100",44,20.3,24,"21.2",20,"19.2",18,NA,27,16.4,0.009994851946912,1.86645817384701
"57",-73.43915814,41.11343234,17397,FALSE,"1","09001043200","09001043200.1","Norwalk","43200",158,102.8,101,"123.9",57,"79",62,156,96,84.3,0.009035380264507,1.85356456032144
"58",-73.43765714,41.11775334,17755,FALSE,"1","09001043300","09001043300.1","Norwalk","43300",128,80.1,30,"37.299999999999997",97,"122.1",39,93.3,89,75.4,0.008797113779646,2.14541337153482
"59",-73.42088714,41.12010734,18006,FALSE,"1","09001043400","09001043400.1","Norwalk","43400",115,51.4,46,"40.5",70,"63.6",54,98.1,61,36.2,0.008663996440273,2.35051727633312
"60",-73.38032912,41.12103634,18244,FALSE,"1","09001043500","09001043500.1","Norwalk","43500",34,26.1,18,".",16,".",11,NA,23,23.1,0.008869822257458,1.70410488758913
"61",-73.40859413,41.11747034,18409,FALSE,"1","09001043600","09001043600.1","Norwalk","43600",57,37,34,"42.4",23,"31.1",22,64.6,35,29.2,0.009494238717256,2.13817897728022
"62",-73.41617213,41.11991834,18627,FALSE,"1","09001043700","09001043700.1","Norwalk","43700",72,70.6,38,"74.5",34,"66.7",19,NA,53,66.8,0.009722193395978,2.17662616115449
"63",-73.43815214,41.11784934,18831,FALSE,"1","09001043800","09001043800.1","Norwalk","43800",315,82.4,152,"76.7",163,"88.4",109,123.3,206,70,0.008901457198737,2.14895435468322
"64",-73.42927014,41.08595833,19111,FALSE,"1","09001043900","09001043900.1","Norwalk","43900",87,31.9,56,"40.6",32,"23.7",32,47.4,56,27.3,0.008664306243406,2.02322852053476
"65",-73.42114213,41.10077734,19376,FALSE,"1","09001044000","09001044000.1","Norwalk","44000",227,76,78,"52.3",148,"98.9",96,132.1,130,57.5,0.009190632195586,2.17027825621728
"66",-73.42191613,41.09985734,19605,FALSE,"1","09001044100","09001044100.1","Norwalk","44100",137,78.1,49,"64.099999999999994",87,"87.9",27,81.5,110,77.3,0.00908645945881,2.1515917254877
"67",-73.40109013,41.10066334,19762,FALSE,"1","09001044200","09001044200.1","Norwalk","44200",66,33.1,35,"35.1",30,"30",23,55.3,43,27.2,0.009716475870517,1.85678279149158
"68",-73.40107413,41.10059434,19926,FALSE,"1","09001044300","09001044300.1","Norwalk","44300",53,27.2,15,".",38,"40.200000000000003",25,54.4,28,18.8,0.009466127676681,1.66383036260617
"69",-73.38375212,41.06232233,20167,FALSE,"1","09001044400","09001044400.1","Norwalk","44400",141,79,51,"58",90,"99.3",42,79.2,99,78.9,0.008791231185387,1.56742624481759
"70",-73.43008214,41.07503733,20304,FALSE,"1","09001044500","09001044500.1","Norwalk","44500",218,119.8,129,"146.80000000000001",89,"94.5",90,143.8,128,107.2,0.008746201983233,1.96257028040618
"71",-73.44754314,41.07316233,20416,FALSE,"1","09001044600","09001044600.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010148552854087,1.81582081755662
"72",-73.48520216,41.24005936,20556,FALSE,"1","09001045101","09001045101.1","Wilton","45101",18,NA,7,".",11,".",6,NA,12,NA,0.011084663201126,1.34099602455867
"73",-73.47961616,41.24735436,21381,FALSE,"1","09001045102","09001045102.1","Wilton","45102",16,NA,10,".",6,".",9,NA,7,NA,0.010127304918003,1.42651226264556
"74",-73.42597514,41.18046235,22196,FALSE,"1","09001045200","09001045200.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009798914053066,1.53826335041636
"75",-73.42846114,41.17936735,22713,FALSE,"1","09001045300","09001045300.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009132705463902,1.39055966496473
"76",-73.38233313,41.18048935,23035,FALSE,"1","09001045400","09001045400.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007072360063876,1.57512644480762
"77",-73.38137012,41.13024934,23322,FALSE,"1","09001050100","09001050100.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008023163307041,1.39271720950741
"78",-73.34759911,41.13968335,23732,FALSE,"1","09001050200","09001050200.1","Westport","50200",22,11,13,".",9,".",10,NA,12,NA,0.007830126749216,1.45193175080532
"79",-73.32761511,41.17972035,24123,FALSE,"1","09001050300","09001050300.1","Westport","50300",37,9.1,18,".",19,".",21,15.7,16,NA,0.008096235698128,1.34409245593125
"80",-73.38032712,41.12101934,24730,FALSE,"1","09001050400","09001050400.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008708194202553,1.50757009885039
"81",-73.35388111,41.09442434,24959,FALSE,"1","09001050500","09001050500.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008596451545042,1.52864383132272
"82",-73.2975311,41.12016034,25281,FALSE,"1","09001050600","09001050600.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008915841546389,1.34612197184494
"83",-73.42686815,41.25542737,25702,FALSE,"1","09001055100","09001055100.1","Weston","55100",27,9.3,17,".",9,".",15,NA,12,NA,0.008708823093445,1.33732043147194
"84",-73.32984511,41.23205636,26211,FALSE,"1","09001055200","09001055200.1","Weston","55200",29,13.3,19,".",11,".",17,NA,12,NA,0.007529207653375,1.30087334126894
"85",-73.25108209,41.21721836,26914,FALSE,"1","09001060100","09001060100.1","Fairfield","60100",64,30.8,33,"28.2",31,"34.200000000000003",24,35.1,41,29.5,0.011382969915875,1.90774277235504
"86",-73.25250609,41.21885036,27266,FALSE,"1","09001060200","09001060200.1","Fairfield","60200",81,38.9,47,"43.1",33,"33.299999999999997",32,56.3,48,31.7,0.011425053820501,2.41589268233529
"87",-73.3001521,41.21071136,27705,FALSE,"1","09001060300","09001060300.1","Fairfield","60300",73,35.7,46,"45.3",27,"26.2",27,41.4,46,33.1,0.009876195822658,1.62188622775884
"88",-73.28808109,41.16238135,28191,FALSE,"1","09001060400","09001060400.1","Fairfield","60400",31,14,19,".",12,".",10,NA,21,14.1,0.00916196541079,1.41313628131443
"89",-73.28808109,41.16238135,28748,FALSE,"1","09001060500","09001060500.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010129873203462,1.52658421347396
"90",-73.27496209,41.14967035,29262,FALSE,"1","09001060600","09001060600.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009692439366663,1.51397679493813
"91",-73.25822509,41.17363635,29554,FALSE,"1","09001060700","09001060700.1","Fairfield","60700",63,16.4,41,"19.5",22,"12.7",33,23.5,30,12.3,0.011717128042926,2.43599906388662
"92",-73.25092908,41.14914635,29930,FALSE,"1","09001060800","09001060800.1","Fairfield","60800",29,27.1,17,".",11,".",12,NA,16,NA,0.011502604215208,1.87377331467924
"93",-73.25822509,41.17363635,30151,FALSE,"1","09001060900","09001060900.1","Fairfield","60900",38,31.1,15,".",24,"40.6",6,NA,32,36.5,0.012211627144415,2.05180671882058
"94",-73.23611108,41.17880336,30375,FALSE,"1","09001061000","09001061000.1","Fairfield","61000",107,56.1,66,"66.099999999999994",41,"45.1",24,51.7,83,57.5,0.01091645720135,1.91200663389317
"95",-73.21845407,41.18385436,30790,FALSE,"1","09001061100","09001061100.1","Fairfield","61100",72,38.2,35,"36.6",37,"39.799999999999997",19,NA,53,42.7,0.010067764161182,1.5303596375024
"96",-73.23611108,41.17880336,31063,FALSE,"1","09001061200","09001061200.1","Fairfield","61200",66,60.4,33,"57.2",32,"62",25,91.6,41,50,0.010325221768004,1.46141046218315
"97",-73.22436908,41.17685736,31254,FALSE,"1","09001061300","09001061300.1","Fairfield","61300",93,63,37,"48.1",56,"79.2",31,76.9,62,57.7,0.011232063970137,1.75023944753828
"98",-73.22296607,41.16829536,31528,FALSE,"1","09001061400","09001061400.1","Fairfield","61400",62,45.3,46,"65",16,".",14,NA,48,46.4,0.020157562830872,1.91672544639943
"99",-73.23338308,41.14299535,31801,FALSE,"1","09001061500","09001061500.1","Fairfield","61500",87,37.1,33,"26.8",53,"47.6",41,61.4,46,27.4,0.014187148976608,1.47824833812106
"100",-73.26985209,41.11669834,32020,FALSE,"1","09001061600","09001061600.1","Fairfield","61600",41,16.5,20,"15.2",21,"18",19,NA,22,11.7,0.011744152538254,1.41765937778974
"101",-73.23338308,41.14299535,32170,FALSE,"1","09001070100","09001070100.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016285703258645,1.52424977654186
"102",-73.21822507,41.16525235,32309,FALSE,"1","09001070200","09001070200.1","Bridgeport","70200",276,136.2,123,"126.2",153,"145.5",70,148.2,206,132.6,0.018194650639024,2.01125475631124
"103",-73.20636407,41.16184635,32480,FALSE,"1","09001070300","09001070300.1","Bridgeport","70300",243,374.7,121,"314.7",122,"462.1",129,367.5,113,379.8,0.015556763698903,1.80628739533054
"104",-73.20636407,41.16184635,32599,FALSE,"1","09001070400","09001070400.1","Bridgeport","70400",89,105.1,39,"89.8",50,"121.4",38,181.8,51,80,0.017144072314581,1.41747107071345
"105",-73.19945107,41.16713536,32734,FALSE,"1","09001070500","09001070500.1","Bridgeport","70500",222,158.5,123,"167.4",99,"148.80000000000001",109,254.1,113,116.3,0.014420902336946,1.66092942386314
"106",-73.19691907,41.17268736,32818,FALSE,"1","09001070600","09001070600.1","Bridgeport","70600",237,193.9,166,"282.60000000000002",71,"111.8",44,184.9,193,196,0.013564160015289,2.02176933770224
"107",-73.19701907,41.17282136,33047,FALSE,"1","09001070900","09001070900.1","Bridgeport","70900",338,261.6,190,"293.89999999999998",148,"229.3",127,295.7,211,244.6,0.0166421485517,1.78635349699758
"108",-73.22320207,41.16809535,33150,FALSE,"1","09001071000","09001071000.1","Bridgeport","71000",367,206,179,"204.7",188,"207.3",156,252.2,211,181.4,0.012978017636955,1.75749484786627
"109",-73.21822007,41.17748436,33349,FALSE,"1","09001071100","09001071100.1","Bridgeport","71100",332,145.1,177,"156.69999999999999",155,"133.80000000000001",157,215.5,174,111.6,0.014356526568764,1.72716311814737
"110",-73.20177307,41.17827536,33455,FALSE,"1","09001071200","09001071200.1","Bridgeport","71200",458,176,231,"177.4",227,"174.6",157,201.3,300,164.6,0.014257966281516,1.83816479677934
"111",-73.20135107,41.17782736,33580,FALSE,"1","09001071300","09001071300.1","Bridgeport","71300",299,197.4,192,"252.8",107,"141.6",116,267,183,169.4,0.014102605330962,1.92165565245276
"112",-73.19449507,41.18787736,33673,FALSE,"1","09001071400","09001071400.1","Bridgeport","71400",333,172.5,167,"181.7",166,"164.1",134,227.1,199,148.5,0.01278043884314,1.94564765595394
"113",-73.19634107,41.18626536,33780,FALSE,"1","09001071600","09001071600.1","Bridgeport","71600",336,274.5,203,"318.89999999999998",133,"226.4",179,352.4,156,217.9,0.013257215666035,2.6150305578167
"114",-73.20356707,41.19111936,33854,FALSE,"1","09001071900","09001071900.1","Bridgeport","71900",361,149.5,163,"166.2",198,"138",128,217.7,233,127.5,0.012075927521917,1.82211299827044
"115",-73.21275007,41.19026836,33943,FALSE,"1","09001072000","09001072000.1","Bridgeport","72000",194,108.8,92,"104",102,"113.6",68,134.1,126,98.8,0.011795016738362,1.62397918856224
"116",-73.21709807,41.17799636,34065,FALSE,"1","09001072100","09001072100.1","Bridgeport","72100",218,71.6,124,"77.900000000000006",94,"64.599999999999994",81,114.3,138,59,0.012456612691527,1.68369953707093
"117",-73.22199708,41.20102736,34317,FALSE,"1","09001072200","09001072200.1","Bridgeport","72200",185,96.7,101,"99.7",84,"93.2",65,148.9,121,81.9,0.010660219944645,1.58039034937527
"118",-73.20931007,41.20773736,34461,FALSE,"1","09001072300","09001072300.1","Bridgeport","72300",455,168.6,311,"223.4",144,"110.3",135,177.3,320,165.3,0.010909390679523,1.53236913152764
"119",-73.19621307,41.20800036,34599,FALSE,"1","09001072400","09001072400.1","Bridgeport","72400",194,136.8,115,"153",79,"118.5",54,129.2,140,140,0.010473530412034,1.45104197244674
"120",-73.22750108,41.20751536,34750,FALSE,"1","09001072500","09001072500.1","Bridgeport","72500",266,92.9,139,"92.4",127,"93.5",100,149.7,166,75.6,0.009508845213749,1.45772567706504
"121",-73.22631108,41.20846336,34926,FALSE,"1","09001072600","09001072600.1","Bridgeport","72600",173,45.6,76,"36.5",98,"57.3",74,88,99,33.6,0.010237480784296,1.629007392318
"122",-73.21117707,41.21315136,35168,FALSE,"1","09001072700","09001072700.1","Bridgeport","72700",172,92.3,73,"76.900000000000006",99,"108.4",94,200.6,78,55.9,0.009462691570729,1.40668007159689
"123",-73.20246407,41.21766237,35382,FALSE,"1","09001072800","09001072800.1","Bridgeport","72800",604,220.9,343,"231.5",261,"208.3",242,267.9,362,197.7,0.00977726886632,1.47869589096154
"124",-73.19301907,41.20092936,35604,FALSE,"1","09001072900","09001072900.1","Bridgeport","72900",239,104.1,137,"115.2",101,"91.2",94,134.5,145,90.7,0.010221266644959,1.66047765917566
"125",-73.16954606,41.22277237,35949,FALSE,"1","09001073000","09001073000.1","Bridgeport","73000",156,164.3,66,"133.19999999999999",90,"198.2",52,190.1,104,153.9,0.010267812382523,1.54804013020123
"126",-73.16108906,41.21496437,36152,FALSE,"1","09001073100","09001073100.1","Bridgeport","73100",399,136.3,242,"151.5",157,"118.1",116,183,283,123.5,0.010107702087626,1.40227225492365
"127",-73.15676105,41.20127836,36474,FALSE,"1","09001073200","09001073200.1","Bridgeport","73200",131,106.5,66,"99.7",65,"114.4",51,173.2,79,84.5,0.010020642292847,1.56825164927814
"128",-73.16163106,41.19671236,36596,FALSE,"1","09001073300","09001073300.1","Bridgeport","73300",256,152.8,140,"158.19999999999999",116,"146.69999999999999",110,228.9,146,122.2,0.010904245130737,1.76641004144805
"129",-73.18218806,41.19935136,36734,FALSE,"1","09001073400","09001073400.1","Bridgeport","73400",243,118.2,126,"116.8",117,"119.7",118,187,124,87,0.011148205371201,1.64147333729157
"130",-73.18331806,41.20019736,36913,FALSE,"1","09001073500","09001073500.1","Bridgeport","73500",409,236.7,237,"260.2",172,"210.5",195,330.8,214,188,0.012016770871609,1.78503600311733
"131",-73.17411806,41.19317736,37011,FALSE,"1","09001073600","09001073600.1","Bridgeport","73600",309,268.2,132,"212.6",177,"333.3",128,294.3,181,252.4,0.011973922733017,1.94801281645039
"132",-73.15511605,41.19000036,37098,FALSE,"1","09001073700","09001073700.1","Bridgeport","73700",587,243.4,295,"235.1",290,"250.7",240,327.4,346,206.1,0.011121737263668,2.10065992524146
"133",-73.17411806,41.19317736,37265,FALSE,"1","09001073800","09001073800.1","Bridgeport","73800",399,350.9,182,"309",217,"396",122,302.4,277,377.6,0.012186039714029,1.80815073969229
"134",-73.18837906,41.18610936,37378,FALSE,"1","09001073900","09001073900.1","Bridgeport","73900",433,255.1,246,"286.39999999999998",187,"223",207,374.7,226,197.4,0.012564483624743,1.77647495041368
"135",-73.17506706,41.18592436,37455,FALSE,"1","09001074000","09001074000.1","Bridgeport","74000",183,190.7,118,"227.6",65,"147.4",77,238.8,106,166.4,0.012643355514858,1.75390196731933
"136",-73.17293806,41.17611136,37513,FALSE,"1","09001074300","09001074300.1","Bridgeport","74300",560,262.5,287,"252",273,"274.5",189,268.5,371,259.5,0.011326632939433,2.09364818407314
"137",-73.17331406,41.17610236,37696,FALSE,"1","09001074400","09001074400.1","Bridgeport","74400",544,261,332,"297.39999999999998",212,"219.1",226,311.9,318,233.9,0.011857904783139,1.76201062932504
"138",-73.15329105,41.19067236,37880,FALSE,"1","09001080100","09001080100.1","Stratford","80100",223,92.1,123,"98",100,"85.7",103,153.9,121,69.1,0.010255421984223,1.64719130865396
"139",-73.15424805,41.19032336,38066,FALSE,"1","09001080200","09001080200.1","Stratford","80200",226,105.2,113,"99.4",112,"110.7",95,143.8,131,88,0.010442714478984,1.77089906544067
"140",-73.13837405,41.18680936,38225,FALSE,"1","09001080400","09001080400.1","Stratford","80400",501,168.2,268,"162.30000000000001",233,"175.7",211,232.8,289,139.5,0.011148431122618,1.5993887168857
"141",-73.10643104,41.16656436,38511,FALSE,"1","09001080500","09001080500.1","Stratford","80500",77,48.3,66,"77.599999999999994",11,".",11,NA,66,51.3,0.009722172735557,1.26634255530569
"142",-73.12898405,41.19132936,38687,FALSE,"1","09001080600","09001080600.1","Stratford","80600",69,53.5,30,"45.3",39,"62.2",12,NA,57,54.8,0.009156242239189,1.61703565752367
"143",-73.12705004,41.19127036,38899,FALSE,"1","09001080700","09001080700.1","Stratford","80700",48,49.1,26,"53",22,"45.2",15,NA,33,42.6,0.009934144230911,1.73817106756507
"144",-73.10941804,41.20468137,39082,FALSE,"1","09001080800","09001080800.1","Stratford","80800",65,27.1,33,"26.4",32,"27.8",24,38.6,41,23.1,0.009461805187213,1.61417631196281
"145",-73.14546305,41.20119436,39349,FALSE,"1","09001080900","09001080900.1","Stratford","80900",116,49.1,56,"45.7",60,"52.8",51,87.3,65,36.5,0.009874156072882,1.74714632818287
"146",-73.15429806,41.22979037,39544,FALSE,"1","09001081000","09001081000.1","Stratford","81000",98,44.8,57,"49.2",41,"39.799999999999997",34,67.7,64,38,0.00944138061972,1.40995946240403
